"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SocksShoppingStore","Order","","0","0","1","0","0"
"SocksShoppingStore","","","0","0","77","0","0"
"SocksShoppingStore","HomeController","","0","0","2","0","0"
"SocksShoppingStore","Catalog","","0","0","12","0","0"
"SocksShoppingStore","Checkout","","0","0","1","0","0"
"SocksShoppingStore","Product Catalog","","0","0","5","0","0"
"SocksShoppingStore","Cart","","0","0","8","0","0"
"SocksShoppingStore","Models/Options","","0","0","3","0","0"
"Store","Cart","","0","0","2","0","0"
"SocksShoppingStore","Header","","0","0","3","0","0"
"SocksShoppingStore","Product","","0","0","3","0","0"
"SocksShoppingStore","Legal/Localization Controllers","","0","0","2","0","0"
"SocksShoppingStore","","Products API","0","0","1","0","0"
"SocksShoppingStore","Session","","0","0","1","0","0"
"Store","Session","","0","0","1","0","0"
"SocksShoppingStore","","Rate Limiting","0","0","2","0","0"
"SocksShoppingStore","ProductsController","","0","0","2","0","0"
"SocksShoppingStore","Metrics","","0","0","2","0","0"
