"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","8","","Unit","","CheckoutControllerUnitFlowTests","Checkout_PostIndex_Valid_StoresDraft_AndRedirects","Checkout_PostIndex_Valid_StoresDraft_AndRedirects","What: Valid post stores OrderDraft in session and redirects to Review.
Steps:
1) Put one item to session cart.
2) Post valid model.
Expected: Redirect to Review; 'OrderDraft' exists in session."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Integration","","ProductsApiBehaviorTests","ProductsApi_Filter_Q_SetsHeaders_AndFilters","ProductsApi_Filter_Q_SetsHeaders_AndFilters","What: Verify text filter 'q' narrows results and sets headers.
Steps:
1) Call GetAllProducts with q='sock'.
Expected: 200 JSON; X-Total-Count header present; returned list count <= total."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","75","","Integration","","AppEndpointsTests","Legal_Privacy_And_Terms_Ok","Legal_Privacy_And_Terms_Ok","What: Legal pages return 200 and include configured values.
Steps:
1) GET '/legal/privacy' and '/legal/terms'.
Expected: 200 OK for each."
"passed","Wed Sep 23 21:05:21 UTC 2026","Wed Sep 23 21:05:21 UTC 2026","0","","Unit Tests","","ShoppingCartUnitTests","Cart_AddRemoveDelete_CalculatesTotals","Cart_AddRemoveDelete_CalculatesTotals","What: Validate add/remove/delete operations and total calculation.
Steps:
1) Add socks (two of A, one of B).
2) Verify total items and sum.
3) Remove one A; delete B.
Expected: Counts and totals update accordingly."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Unit","","LegalAndLocalizationUnitTests","Localization_Set_WritesCookie_AndRedirects_Local","Localization_Set_WritesCookie_AndRedirects_Local","What: Verify Localization.Set writes culture cookie and local redirects.
Steps:
1) Call Set('ru-RU','/').
Expected: Response Set-Cookie contains .AspNetCore.Culture; LocalRedirect result."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","1","","Integration","","ApiDependenciesRepoAndServiceTests","LegacyRepository_CRUD","LegacyRepository_CRUD","What: Legacy repository CRUD via adapter (API dependency).
Steps:
1) Add new sock; Update; Delete.
Expected: Update true; Delete true; then null by id."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","CartControllerUnitTests","CartController_SetQuantity_Zero_Removes","CartController_SetQuantity_Zero_Removes","What: Setting quantity to zero removes item in CartController.
Steps:
1) Add id=1; SetQuantity(1,0).
Expected: Cart becomes empty."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","0","","Integration","","ProductsApiControllerTests","ProductsApi_GetById_Returns304_OnIfModifiedSince","ProductsApi_GetById_Returns304_OnIfModifiedSince","What: Validate If-Modified-Since behavior for GetProduct.
Steps:
1) First call to obtain Last-Modified.
2) Second call with If-Modified-Since header.
Expected: Status is either 200 or 304 (environment dependent)."
"passed","Wed Sep 23 21:05:18 UTC 2026","Wed Sep 23 21:05:18 UTC 2026","1","","Integration","","ApiDependenciesHelpersTests","ErrorViewModel_ShowRequestId_Works","ErrorViewModel_ShowRequestId_Works","What: ErrorViewModel.ShowRequestId reflects RequestId (API dependency).
Steps:
1) Set null and non-null request id.
Expected: ShowRequestId false then true."
"passed","Wed Sep 23 21:05:45 UTC 2026","Wed Sep 23 21:05:46 UTC 2026","1260","","UI","","CatalogUiMoreTests","Catalog_Price_Boundary_Equals_ItemPrice","Catalog_Price_Boundary_Equals_ItemPrice","What: Price boundary equals to one product's price.
Steps:
1) Read first visible product price; set min=max=that price; Apply.
Expected: Visible products have that price only (<= page size)."
"passed","Wed Sep 23 21:06:41 UTC 2026","Wed Sep 23 21:06:41 UTC 2026","0","","UI","","ProductsControllerTests","Products_Details_ReturnsView_WithSockModel","Products_Details_ReturnsView_WithSockModel","What: Verify 'Details' returns a view with a Sock model for a valid id.
Steps:
1) Call Details with id=1.
Expected: ViewResult with model of type Sock."
"passed","Wed Sep 23 21:06:41 UTC 2026","Wed Sep 23 21:06:41 UTC 2026","1","","UI","","LegalAndLocalizationControllerTests","Legal_Privacy_SetsViewData_FromOptions","Legal_Privacy_SetsViewData_FromOptions","What: Verify Privacy view receives ViewData values from options.
Steps:
1) Instantiate LegalController with options.
2) Call Privacy().
Expected: ViewData contains configured ControllerName and ContactEmail."
"passed","Wed Sep 23 21:05:21 UTC 2026","Wed Sep 23 21:05:21 UTC 2026","62","","Integration","","SecurityAndLocalizationTests","Home_Has_CookieBanner","Home_Has_CookieBanner","What: Check presence of cookie consent banner on Home.
Steps:
1) GET '/'.
Expected: HTML contains element with id 'cookie-consent'."
"passed","Wed Sep 23 21:05:21 UTC 2026","Wed Sep 23 21:05:21 UTC 2026","49","","Integration","","SecurityAndLocalizationTests","Home_Has_SecurityHeaders","Home_Has_SecurityHeaders","What: Verify home page responds with core security headers.
Steps:
1) GET '/'.
Expected: X-Frame-Options, X-Content-Type-Options, and Content-Security-Policy headers are present."
"passed","Wed Sep 23 21:05:20 UTC 2026","Wed Sep 23 21:05:20 UTC 2026","1","","Unit","","CartControllerNavigationUnitTests","Cart_AddToCart_RefererFallback_Behaves","Cart_AddToCart_RefererFallback_Behaves","What: When Referer points to product page, AddToCart redirects back; if from Cart, goes Home.
Steps:
1) Set Referer to '/Products/Details/1' -> LocalRedirect to that path.
2) Set Referer to '/Cart' -> RedirectToAction Home/Index.
Expected: Behaviors as described."
